
Clasificarea internationala a maladiilor - Revizia a X a 1994, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar persoane, Valoare
Boli endocrine  de nutritie si metabolism, Mehedinti, Anul 1997, Numar persoane, 12
Boli endocrine  de nutritie si metabolism, Mehedinti, Anul 1998, Numar persoane, 17
Boli endocrine  de nutritie si metabolism, Mehedinti, Anul 1999, Numar persoane, 22
Boli endocrine  de nutritie si metabolism, Mehedinti, Anul 2000, Numar persoane, 25
Boli endocrine  de nutritie si metabolism, Mehedinti, Anul 2001, Numar persoane, 17
Boli endocrine  de nutritie si metabolism, Mehedinti, Anul 2002, Numar persoane, 19
Boli endocrine  de nutritie si metabolism, Mehedinti, Anul 2003, Numar persoane, 22
Boli endocrine  de nutritie si metabolism, Mehedinti, Anul 2004, Numar persoane, 20
Boli endocrine  de nutritie si metabolism, Mehedinti, Anul 2005, Numar persoane, 15
Boli endocrine  de nutritie si metabolism, Mehedinti, Anul 2006, Numar persoane, 25
Boli endocrine  de nutritie si metabolism, Mehedinti, Anul 2007, Numar persoane, 18
Boli endocrine  de nutritie si metabolism, Mehedinti, Anul 2008, Numar persoane, 20
Boli endocrine  de nutritie si metabolism, Mehedinti, Anul 2009, Numar persoane, 19
Boli endocrine  de nutritie si metabolism, Mehedinti, Anul 2010, Numar persoane, 28
Boli endocrine  de nutritie si metabolism, Mehedinti, Anul 2011, Numar persoane, 25
Boli endocrine  de nutritie si metabolism, Mehedinti, Anul 2012, Numar persoane, 22
Boli endocrine  de nutritie si metabolism, Mehedinti, Anul 2013, Numar persoane, 16
Boli endocrine  de nutritie si metabolism, Mehedinti, Anul 2014, Numar persoane, 26
Boli endocrine  de nutritie si metabolism, Mehedinti, Anul 2015, Numar persoane, 30
Boli endocrine  de nutritie si metabolism, Mehedinti, Anul 2016, Numar persoane, 35
Boli endocrine  de nutritie si metabolism, Olt, Anul 1994, Numar persoane, 23
Boli endocrine  de nutritie si metabolism, Olt, Anul 1995, Numar persoane, 39
Boli endocrine  de nutritie si metabolism, Olt, Anul 1996, Numar persoane, 29
Boli endocrine  de nutritie si metabolism, Olt, Anul 1997, Numar persoane, 32
Boli endocrine  de nutritie si metabolism, Olt, Anul 1998, Numar persoane, 16
Boli endocrine  de nutritie si metabolism, Olt, Anul 1999, Numar persoane, 26
Boli endocrine  de nutritie si metabolism, Olt, Anul 2000, Numar persoane, 27
Boli endocrine  de nutritie si metabolism, Olt, Anul 2001, Numar persoane, 26
Boli endocrine  de nutritie si metabolism, Olt, Anul 2002, Numar persoane, 35
Boli endocrine  de nutritie si metabolism, Olt, Anul 2003, Numar persoane, 32
Boli endocrine  de nutritie si metabolism, Olt, Anul 2004, Numar persoane, 23
Boli endocrine  de nutritie si metabolism, Olt, Anul 2005, Numar persoane, 23
Boli endocrine  de nutritie si metabolism, Olt, Anul 2006, Numar persoane, 25
Boli endocrine  de nutritie si metabolism, Olt, Anul 2007, Numar persoane, 26
Boli endocrine  de nutritie si metabolism, Olt, Anul 2008, Numar persoane, 12
Boli endocrine  de nutritie si metabolism, Olt, Anul 2009, Numar persoane, 9
Boli endocrine  de nutritie si metabolism, Olt, Anul 2010, Numar persoane, 7
Boli endocrine  de nutritie si metabolism, Olt, Anul 2011, Numar persoane, 12
Boli endocrine  de nutritie si metabolism, Olt, Anul 2012, Numar persoane, 9
Boli endocrine  de nutritie si metabolism, Olt, Anul 2013, Numar persoane, 8
Boli endocrine  de nutritie si metabolism, Olt, Anul 2014, Numar persoane, 2
Boli endocrine  de nutritie si metabolism, Olt, Anul 2015, Numar persoane, 17
Boli endocrine  de nutritie si metabolism, Olt, Anul 2016, Numar persoane, 26
Boli endocrine  de nutritie si metabolism, Valcea, Anul 1994, Numar persoane, 20
Boli endocrine  de nutritie si metabolism, Valcea, Anul 1995, Numar persoane, 28
Boli endocrine  de nutritie si metabolism, Valcea, Anul 1996, Numar persoane, 21
Boli endocrine  de nutritie si metabolism, Valcea, Anul 1997, Numar persoane, 23
Boli endocrine  de nutritie si metabolism, Valcea, Anul 1998, Numar persoane, 29
Boli endocrine  de nutritie si metabolism, Valcea, Anul 1999, Numar persoane, 41
Boli endocrine  de nutritie si metabolism, Valcea, Anul 2000, Numar persoane, 24
Boli endocrine  de nutritie si metabolism, Valcea, Anul 2001, Numar persoane, 20
Boli endocrine  de nutritie si metabolism, Valcea, Anul 2002, Numar persoane, 18
Boli endocrine  de nutritie si metabolism, Valcea, Anul 2003, Numar persoane, 25
Boli endocrine  de nutritie si metabolism, Valcea, Anul 2004, Numar persoane, 21
Boli endocrine  de nutritie si metabolism, Valcea, Anul 2005, Numar persoane, 32
Boli endocrine  de nutritie si metabolism, Valcea, Anul 2006, Numar persoane, 27
Boli endocrine  de nutritie si metabolism, Valcea, Anul 2007, Numar persoane, 23
Boli endocrine  de nutritie si metabolism, Valcea, Anul 2008, Numar persoane, 34
Boli endocrine  de nutritie si metabolism, Valcea, Anul 2009, Numar persoane, 45
Boli endocrine  de nutritie si metabolism, Valcea, Anul 2010, Numar persoane, 53
Boli endocrine  de nutritie si metabolism, Valcea, Anul 2011, Numar persoane, 73
Boli endocrine  de nutritie si metabolism, Valcea, Anul 2012, Numar persoane, 56
Boli endocrine  de nutritie si metabolism, Valcea, Anul 2013, Numar persoane, 58
Boli endocrine  de nutritie si metabolism, Valcea, Anul 2014, Numar persoane, 36
Boli endocrine  de nutritie si metabolism, Valcea, Anul 2015, Numar persoane, 40
Boli endocrine  de nutritie si metabolism, Valcea, Anul 2016, Numar persoane, 50
Boli endocrine  de nutritie si metabolism, Regiunea VEST, Anul 1994, Numar persoane, 279
Boli endocrine  de nutritie si metabolism, Regiunea VEST, Anul 1995, Numar persoane, 248
Boli endocrine  de nutritie si metabolism, Regiunea VEST, Anul 1996, Numar persoane, 224
Boli endocrine  de nutritie si metabolism, Regiunea VEST, Anul 1997, Numar persoane, 244
Boli endocrine  de nutritie si metabolism, Regiunea VEST, Anul 1998, Numar persoane, 210
Boli endocrine  de nutritie si metabolism, Regiunea VEST, Anul 1999, Numar persoane, 225
Boli endocrine  de nutritie si metabolism, Regiunea VEST, Anul 2000, Numar persoane, 226
Boli endocrine  de nutritie si metabolism, Regiunea VEST, Anul 2001, Numar persoane, 205
Boli endocrine  de nutritie si metabolism, Regiunea VEST, Anul 2002, Numar persoane, 211
Boli endocrine  de nutritie si metabolism, Regiunea VEST, Anul 2003, Numar persoane, 221
Boli endocrine  de nutritie si metabolism, Regiunea VEST, Anul 2004, Numar persoane, 230
Boli endocrine  de nutritie si metabolism, Regiunea VEST, Anul 2005, Numar persoane, 183
Boli endocrine  de nutritie si metabolism, Regiunea VEST, Anul 2006, Numar persoane, 212
Boli endocrine  de nutritie si metabolism, Regiunea VEST, Anul 2007, Numar persoane, 197
Boli endocrine  de nutritie si metabolism, Regiunea VEST, Anul 2008, Numar persoane, 153
Boli endocrine  de nutritie si metabolism, Regiunea VEST, Anul 2009, Numar persoane, 205
Boli endocrine  de nutritie si metabolism, Regiunea VEST, Anul 2010, Numar persoane, 234
Boli endocrine  de nutritie si metabolism, Regiunea VEST, Anul 2011, Numar persoane, 214
Boli endocrine  de nutritie si metabolism, Regiunea VEST, Anul 2012, Numar persoane, 211
Boli endocrine  de nutritie si metabolism, Regiunea VEST, Anul 2013, Numar persoane, 153
Boli endocrine  de nutritie si metabolism, Regiunea VEST, Anul 2014, Numar persoane, 233
Boli endocrine  de nutritie si metabolism, Regiunea VEST, Anul 2015, Numar persoane, 271
Boli endocrine  de nutritie si metabolism, Regiunea VEST, Anul 2016, Numar persoane, 270
Boli endocrine  de nutritie si metabolism, Arad, Anul 1994, Numar persoane, 90
Boli endocrine  de nutritie si metabolism, Arad, Anul 1995, Numar persoane, 78
Boli endocrine  de nutritie si metabolism, Arad, Anul 1996, Numar persoane, 70
Boli endocrine  de nutritie si metabolism, Arad, Anul 1997, Numar persoane, 76
Boli endocrine  de nutritie si metabolism, Arad, Anul 1998, Numar persoane, 54
Boli endocrine  de nutritie si metabolism, Arad, Anul 1999, Numar persoane, 78
Boli endocrine  de nutritie si metabolism, Arad, Anul 2000, Numar persoane, 61
Boli endocrine  de nutritie si metabolism, Arad, Anul 2001, Numar persoane, 59
Boli endocrine  de nutritie si metabolism, Arad, Anul 2002, Numar persoane, 88
Boli endocrine  de nutritie si metabolism, Arad, Anul 2003, Numar persoane, 108
Boli endocrine  de nutritie si metabolism, Arad, Anul 2004, Numar persoane, 89
Boli endocrine  de nutritie si metabolism, Arad, Anul 2005, Numar persoane, 74
Boli endocrine  de nutritie si metabolism, Arad, Anul 2006, Numar persoane, 81
Boli endocrine  de nutritie si metabolism, Arad, Anul 2007, Numar persoane, 40
Boli endocrine  de nutritie si metabolism, Arad, Anul 2008, Numar persoane, 36
Boli endocrine  de nutritie si metabolism, Arad, Anul 2009, Numar persoane, 44
Boli endocrine  de nutritie si metabolism, Arad, Anul 2010, Numar persoane, 21
Boli endocrine  de nutritie si metabolism, Arad, Anul 2011, Numar persoane, 32
Boli endocrine  de nutritie si metabolism, Arad, Anul 2012, Numar persoane, 26
Boli endocrine  de nutritie si metabolism, Arad, Anul 2013, Numar persoane, 48
Boli endocrine  de nutritie si metabolism, Arad, Anul 2014, Numar persoane, 99
Boli endocrine  de nutritie si metabolism, Arad, Anul 2015, Numar persoane, 106
Boli endocrine  de nutritie si metabolism, Arad, Anul 2016, Numar persoane, 132
Boli endocrine  de nutritie si metabolism, Caras-Severin, Anul 1994, Numar persoane, 41
Boli endocrine  de nutritie si metabolism, Caras-Severin, Anul 1995, Numar persoane, 42
Boli endocrine  de nutritie si metabolism, Caras-Severin, Anul 1996, Numar persoane, 29
Boli endocrine  de nutritie si metabolism, Caras-Severin, Anul 1997, Numar persoane, 39
Boli endocrine  de nutritie si metabolism, Caras-Severin, Anul 1998, Numar persoane, 39
Boli endocrine  de nutritie si metabolism, Caras-Severin, Anul 1999, Numar persoane, 31
Boli endocrine  de nutritie si metabolism, Caras-Severin, Anul 2000, Numar persoane, 50
Boli endocrine  de nutritie si metabolism, Caras-Severin, Anul 2001, Numar persoane, 32
Boli endocrine  de nutritie si metabolism, Caras-Severin, Anul 2002, Numar persoane, 34
Boli endocrine  de nutritie si metabolism, Caras-Severin, Anul 2003, Numar persoane, 18
Boli endocrine  de nutritie si metabolism, Caras-Severin, Anul 2004, Numar persoane, 27
Boli endocrine  de nutritie si metabolism, Caras-Severin, Anul 2005, Numar persoane, 21
Boli endocrine  de nutritie si metabolism, Caras-Severin, Anul 2006, Numar persoane, 31
Boli endocrine  de nutritie si metabolism, Caras-Severin, Anul 2007, Numar persoane, 17
Boli endocrine  de nutritie si metabolism, Caras-Severin, Anul 2008, Numar persoane, 21
Boli endocrine  de nutritie si metabolism, Caras-Severin, Anul 2009, Numar persoane, 35
Boli endocrine  de nutritie si metabolism, Caras-Severin, Anul 2010, Numar persoane, 92
Boli endocrine  de nutritie si metabolism, Caras-Severin, Anul 2011, Numar persoane, 50
Boli endocrine  de nutritie si metabolism, Caras-Severin, Anul 2012, Numar persoane, 50
Boli endocrine  de nutritie si metabolism, Caras-Severin, Anul 2013, Numar persoane, 31
Boli endocrine  de nutritie si metabolism, Caras-Severin, Anul 2014, Numar persoane, 31
Boli endocrine  de nutritie si metabolism, Caras-Severin, Anul 2015, Numar persoane, 37
Boli endocrine  de nutritie si metabolism, Caras-Severin, Anul 2016, Numar persoane, 27
Boli endocrine  de nutritie si metabolism, Hunedoara, Anul 1994, Numar persoane, 64
Boli endocrine  de nutritie si metabolism, Hunedoara, Anul 1995, Numar persoane, 66
Boli endocrine  de nutritie si metabolism, Hunedoara, Anul 1996, Numar persoane, 74
Boli endocrine  de nutritie si metabolism, Hunedoara, Anul 1997, Numar persoane, 75
Boli endocrine  de nutritie si metabolism, Hunedoara, Anul 1998, Numar persoane, 68
Boli endocrine  de nutritie si metabolism, Hunedoara, Anul 1999, Numar persoane, 71
Boli endocrine  de nutritie si metabolism, Hunedoara, Anul 2000, Numar persoane, 77
Boli endocrine  de nutritie si metabolism, Hunedoara, Anul 2001, Numar persoane, 76
Boli endocrine  de nutritie si metabolism, Hunedoara, Anul 2002, Numar persoane, 53
Boli endocrine  de nutritie si metabolism, Hunedoara, Anul 2003, Numar persoane, 65
Boli endocrine  de nutritie si metabolism, Hunedoara, Anul 2004, Numar persoane, 74
Boli endocrine  de nutritie si metabolism, Hunedoara, Anul 2005, Numar persoane, 56
Boli endocrine  de nutritie si metabolism, Hunedoara, Anul 2006, Numar persoane, 73
Boli endocrine  de nutritie si metabolism, Hunedoara, Anul 2007, Numar persoane, 111
Boli endocrine  de nutritie si metabolism, Hunedoara, Anul 2008, Numar persoane, 72
Boli endocrine  de nutritie si metabolism, Hunedoara, Anul 2009, Numar persoane, 81
Boli endocrine  de nutritie si metabolism, Hunedoara, Anul 2010, Numar persoane, 84
Boli endocrine  de nutritie si metabolism, Hunedoara, Anul 2011, Numar persoane, 86
Boli endocrine  de nutritie si metabolism, Hunedoara, Anul 2012, Numar persoane, 78
Boli endocrine  de nutritie si metabolism, Hunedoara, Anul 2013, Numar persoane, 32
Boli endocrine  de nutritie si metabolism, Hunedoara, Anul 2014, Numar persoane, 72
Boli endocrine  de nutritie si metabolism, Hunedoara, Anul 2015, Numar persoane, 61
Boli endocrine  de nutritie si metabolism, Hunedoara, Anul 2016, Numar persoane, 70
Boli endocrine  de nutritie si metabolism, Timis, Anul 1994, Numar persoane, 84
Boli endocrine  de nutritie si metabolism, Timis, Anul 1995, Numar persoane, 62
Boli endocrine  de nutritie si metabolism, Timis, Anul 1996, Numar persoane, 51
Boli endocrine  de nutritie si metabolism, Timis, Anul 1997, Numar persoane, 54
Boli endocrine  de nutritie si metabolism, Timis, Anul 1998, Numar persoane, 49
Boli endocrine  de nutritie si metabolism, Timis, Anul 1999, Numar persoane, 45
Boli endocrine  de nutritie si metabolism, Timis, Anul 2000, Numar persoane, 38
Boli endocrine  de nutritie si metabolism, Timis, Anul 2001, Numar persoane, 38
Boli endocrine  de nutritie si metabolism, Timis, Anul 2002, Numar persoane, 36
Boli endocrine  de nutritie si metabolism, Timis, Anul 2003, Numar persoane, 30
Boli endocrine  de nutritie si metabolism, Timis, Anul 2004, Numar persoane, 40
Boli endocrine  de nutritie si metabolism, Timis, Anul 2005, Numar persoane, 32
Boli endocrine  de nutritie si metabolism, Timis, Anul 2006, Numar persoane, 27
Boli endocrine  de nutritie si metabolism, Timis, Anul 2007, Numar persoane, 29
Boli endocrine  de nutritie si metabolism, Timis, Anul 2008, Numar persoane, 24
Boli endocrine  de nutritie si metabolism, Timis, Anul 2009, Numar persoane, 45
Boli endocrine  de nutritie si metabolism, Timis, Anul 2010, Numar persoane, 37
Boli endocrine  de nutritie si metabolism, Timis, Anul 2011, Numar persoane, 46
Boli endocrine  de nutritie si metabolism, Timis, Anul 2012, Numar persoane, 57
Boli endocrine  de nutritie si metabolism, Timis, Anul 2013, Numar persoane, 42
Boli endocrine  de nutritie si metabolism, Timis, Anul 2014, Numar persoane, 31
Boli endocrine  de nutritie si metabolism, Timis, Anul 2015, Numar persoane, 67
Boli endocrine  de nutritie si metabolism, Timis, Anul 2016, Numar persoane, 41
din care:  Diabet zaharat, MACROREGIUNEA TREI, Anul 1994, Numar persoane, 630
din care:  Diabet zaharat, MACROREGIUNEA TREI, Anul 1995, Numar persoane, 507
din care:  Diabet zaharat, MACROREGIUNEA TREI, Anul 1996, Numar persoane, 447
din care:  Diabet zaharat, MACROREGIUNEA TREI, Anul 1997, Numar persoane, 463
din care:  Diabet zaharat, MACROREGIUNEA TREI, Anul 1998, Numar persoane, 436
din care:  Diabet zaharat, MACROREGIUNEA TREI, Anul 1999, Numar persoane, 480
din care:  Diabet zaharat, MACROREGIUNEA TREI, Anul 2000, Numar persoane, 455
din care:  Diabet zaharat, MACROREGIUNEA TREI, Anul 2001, Numar persoane, 442
din care:  Diabet zaharat, MACROREGIUNEA TREI, Anul 2002, Numar persoane, 467
din care:  Diabet zaharat, MACROREGIUNEA TREI, Anul 2003, Numar persoane, 543
din care:  Diabet zaharat, MACROREGIUNEA TREI, Anul 2004, Numar persoane, 501
din care:  Diabet zaharat, MACROREGIUNEA TREI, Anul 2005, Numar persoane, 533
din care:  Diabet zaharat, MACROREGIUNEA TREI, Anul 2006, Numar persoane, 494
din care:  Diabet zaharat, MACROREGIUNEA TREI, Anul 2007, Numar persoane, 539
din care:  Diabet zaharat, MACROREGIUNEA TREI, Anul 2008, Numar persoane, 501
din care:  Diabet zaharat, MACROREGIUNEA TREI, Anul 2009, Numar persoane, 497
din care:  Diabet zaharat, MACROREGIUNEA TREI, Anul 2010, Numar persoane, 580
din care:  Diabet zaharat, MACROREGIUNEA TREI, Anul 2011, Numar persoane, 520
din care:  Diabet zaharat, MACROREGIUNEA TREI, Anul 2012, Numar persoane, 524
din care:  Diabet zaharat, MACROREGIUNEA TREI, Anul 2013, Numar persoane, 505
din care:  Diabet zaharat, MACROREGIUNEA TREI, Anul 2014, Numar persoane, 550
din care:  Diabet zaharat, MACROREGIUNEA TREI, Anul 2015, Numar persoane, 711
din care:  Diabet zaharat, MACROREGIUNEA TREI, Anul 2016, Numar persoane, 966
din care:  Diabet zaharat, Regiunea SUD-MUNTENIA, Anul 1994, Numar persoane, 286
din care:  Diabet zaharat, Regiunea SUD-MUNTENIA, Anul 1995, Numar persoane, 247
din care:  Diabet zaharat, Regiunea SUD-MUNTENIA, Anul 1996, Numar persoane, 202
din care:  Diabet zaharat, Regiunea SUD-MUNTENIA, Anul 1997, Numar persoane, 214
din care:  Diabet zaharat, Regiunea SUD-MUNTENIA, Anul 1998, Numar persoane, 208
din care:  Diabet zaharat, Regiunea SUD-MUNTENIA, Anul 1999, Numar persoane, 221
din care:  Diabet zaharat, Regiunea SUD-MUNTENIA, Anul 2000, Numar persoane, 216
din care:  Diabet zaharat, Regiunea SUD-MUNTENIA, Anul 2001, Numar persoane, 207
din care:  Diabet zaharat, Regiunea SUD-MUNTENIA, Anul 2002, Numar persoane, 278
din care:  Diabet zaharat, Regiunea SUD-MUNTENIA, Anul 2003, Numar persoane, 313
din care:  Diabet zaharat, Regiunea SUD-MUNTENIA, Anul 2004, Numar persoane, 310
din care:  Diabet zaharat, Regiunea SUD-MUNTENIA, Anul 2005, Numar persoane, 297
din care:  Diabet zaharat, Regiunea SUD-MUNTENIA, Anul 2006, Numar persoane, 321
din care:  Diabet zaharat, Regiunea SUD-MUNTENIA, Anul 2007, Numar persoane, 341
din care:  Diabet zaharat, Regiunea SUD-MUNTENIA, Anul 2008, Numar persoane, 333
din care:  Diabet zaharat, Regiunea SUD-MUNTENIA, Anul 2009, Numar persoane, 345
din care:  Diabet zaharat, Regiunea SUD-MUNTENIA, Anul 2010, Numar persoane, 417
din care:  Diabet zaharat, Regiunea SUD-MUNTENIA, Anul 2011, Numar persoane, 376
din care:  Diabet zaharat, Regiunea SUD-MUNTENIA, Anul 2012, Numar persoane, 390
din care:  Diabet zaharat, Regiunea SUD-MUNTENIA, Anul 2013, Numar persoane, 405
din care:  Diabet zaharat, Regiunea SUD-MUNTENIA, Anul 2014, Numar persoane, 431
din care:  Diabet zaharat, Regiunea SUD-MUNTENIA, Anul 2015, Numar persoane, 585
din care:  Diabet zaharat, Regiunea SUD-MUNTENIA, Anul 2016, Numar persoane, 850
din care:  Diabet zaharat, Arges, Anul 1994, Numar persoane, 47
din care:  Diabet zaharat, Arges, Anul 1995, Numar persoane, 29
din care:  Diabet zaharat, Arges, Anul 1996, Numar persoane, 23
din care:  Diabet zaharat, Arges, Anul 1997, Numar persoane, 19
din care:  Diabet zaharat, Arges, Anul 1998, Numar persoane, 29
din care:  Diabet zaharat, Arges, Anul 1999, Numar persoane, 38
din care:  Diabet zaharat, Arges, Anul 2000, Numar persoane, 34
din care:  Diabet zaharat, Arges, Anul 2001, Numar persoane, 23
din care:  Diabet zaharat, Arges, Anul 2002, Numar persoane, 58
din care:  Diabet zaharat, Arges, Anul 2003, Numar persoane, 45
din care:  Diabet zaharat, Arges, Anul 2004, Numar persoane, 70
din care:  Diabet zaharat, Arges, Anul 2005, Numar persoane, 63
din care:  Diabet zaharat, Arges, Anul 2006, Numar persoane, 78
din care:  Diabet zaharat, Arges, Anul 2007, Numar persoane, 78
din care:  Diabet zaharat, Arges, Anul 2008, Numar persoane, 96
din care:  Diabet zaharat, Arges, Anul 2009, Numar persoane, 80
din care:  Diabet zaharat, Arges, Anul 2010, Numar persoane, 87
din care:  Diabet zaharat, Arges, Anul 2011, Numar persoane, 83
din care:  Diabet zaharat, Arges, Anul 2012, Numar persoane, 97
din care:  Diabet zaharat, Arges, Anul 2013, Numar persoane, 82
din care:  Diabet zaharat, Arges, Anul 2014, Numar persoane, 108
din care:  Diabet zaharat, Arges, Anul 2015, Numar persoane, 150
din care:  Diabet zaharat, Arges, Anul 2016, Numar persoane, 137
din care:  Diabet zaharat, Calarasi, Anul 1994, Numar persoane, 27
din care:  Diabet zaharat, Calarasi, Anul 1995, Numar persoane, 14
din care:  Diabet zaharat, Calarasi, Anul 1996, Numar persoane, 19
din care:  Diabet zaharat, Calarasi, Anul 1997, Numar persoane, 17
din care:  Diabet zaharat, Calarasi, Anul 1998, Numar persoane, 16
din care:  Diabet zaharat, Calarasi, Anul 1999, Numar persoane, 24
din care:  Diabet zaharat, Calarasi, Anul 2000, Numar persoane, 25
din care:  Diabet zaharat, Calarasi, Anul 2001, Numar persoane, 21
din care:  Diabet zaharat, Calarasi, Anul 2002, Numar persoane, 23
din care:  Diabet zaharat, Calarasi, Anul 2003, Numar persoane, 26
din care:  Diabet zaharat, Calarasi, Anul 2004, Numar persoane, 23
din care:  Diabet zaharat, Calarasi, Anul 2005, Numar persoane, 22
din care:  Diabet zaharat, Calarasi, Anul 2006, Numar persoane, 24
din care:  Diabet zaharat, Calarasi, Anul 2007, Numar persoane, 28
din care:  Diabet zaharat, Calarasi, Anul 2008, Numar persoane, 17
din care:  Diabet zaharat, Calarasi, Anul 2009, Numar persoane, 15
din care:  Diabet zaharat, Calarasi, Anul 2010, Numar persoane, 14
din care:  Diabet zaharat, Calarasi, Anul 2011, Numar persoane, 19
din care:  Diabet zaharat, Calarasi, Anul 2012, Numar persoane, 18
din care:  Diabet zaharat, Calarasi, Anul 2013, Numar persoane, 60
din care:  Diabet zaharat, Calarasi, Anul 2014, Numar persoane, 116
din care:  Diabet zaharat, Calarasi, Anul 2015, Numar persoane, 126
din care:  Diabet zaharat, Calarasi, Anul 2016, Numar persoane, 172
din care:  Diabet zaharat, Dambovita, Anul 1994, Numar persoane, 40
din care:  Diabet zaharat, Dambovita, Anul 1995, Numar persoane, 43
din care:  Diabet zaharat, Dambovita, Anul 1996, Numar persoane, 35
din care:  Diabet zaharat, Dambovita, Anul 1997, Numar persoane, 55
din care:  Diabet zaharat, Dambovita, Anul 1998, Numar persoane, 42
din care:  Diabet zaharat, Dambovita, Anul 1999, Numar persoane, 33
din care:  Diabet zaharat, Dambovita, Anul 2000, Numar persoane, 47
din care:  Diabet zaharat, Dambovita, Anul 2001, Numar persoane, 45
din care:  Diabet zaharat, Dambovita, Anul 2002, Numar persoane, 72
din care:  Diabet zaharat, Dambovita, Anul 2003, Numar persoane, 81
din care:  Diabet zaharat, Dambovita, Anul 2004, Numar persoane, 60
din care:  Diabet zaharat, Dambovita, Anul 2005, Numar persoane, 46
din care:  Diabet zaharat, Dambovita, Anul 2006, Numar persoane, 56
din care:  Diabet zaharat, Dambovita, Anul 2007, Numar persoane, 77
din care:  Diabet zaharat, Dambovita, Anul 2008, Numar persoane, 43
din care:  Diabet zaharat, Dambovita, Anul 2009, Numar persoane, 48
din care:  Diabet zaharat, Dambovita, Anul 2010, Numar persoane, 108
din care:  Diabet zaharat, Dambovita, Anul 2011, Numar persoane, 68
din care:  Diabet zaharat, Dambovita, Anul 2012, Numar persoane, 39
din care:  Diabet zaharat, Dambovita, Anul 2013, Numar persoane, 39
din care:  Diabet zaharat, Dambovita, Anul 2014, Numar persoane, 32
din care:  Diabet zaharat, Dambovita, Anul 2015, Numar persoane, 110
din care:  Diabet zaharat, Dambovita, Anul 2016, Numar persoane, 278
din care:  Diabet zaharat, Giurgiu, Anul 1994, Numar persoane, 23
din care:  Diabet zaharat, Giurgiu, Anul 1995, Numar persoane, 18
din care:  Diabet zaharat, Giurgiu, Anul 1996, Numar persoane, 18
din care:  Diabet zaharat, Giurgiu, Anul 1997, Numar persoane, 15
din care:  Diabet zaharat, Giurgiu, Anul 1998, Numar persoane, 23
din care:  Diabet zaharat, Giurgiu, Anul 1999, Numar persoane, 19
din care:  Diabet zaharat, Giurgiu, Anul 2000, Numar persoane, 18
din care:  Diabet zaharat, Giurgiu, Anul 2001, Numar persoane, 23
din care:  Diabet zaharat, Giurgiu, Anul 2002, Numar persoane, 17
din care:  Diabet zaharat, Giurgiu, Anul 2003, Numar persoane, 32
din care:  Diabet zaharat, Giurgiu, Anul 2004, Numar persoane, 31
din care:  Diabet zaharat, Giurgiu, Anul 2005, Numar persoane, 27
din care:  Diabet zaharat, Giurgiu, Anul 2006, Numar persoane, 29
din care:  Diabet zaharat, Giurgiu, Anul 2007, Numar persoane, 13
din care:  Diabet zaharat, Giurgiu, Anul 2008, Numar persoane, 29
din care:  Diabet zaharat, Giurgiu, Anul 2009, Numar persoane, 20
din care:  Diabet zaharat, Giurgiu, Anul 2010, Numar persoane, 25
din care:  Diabet zaharat, Giurgiu, Anul 2011, Numar persoane, 27
din care:  Diabet zaharat, Giurgiu, Anul 2012, Numar persoane, 40
din care:  Diabet zaharat, Giurgiu, Anul 2013, Numar persoane, 25
din care:  Diabet zaharat, Giurgiu, Anul 2014, Numar persoane, 21
din care:  Diabet zaharat, Giurgiu, Anul 2015, Numar persoane, 21
din care:  Diabet zaharat, Giurgiu, Anul 2016, Numar persoane, 25
din care:  Diabet zaharat, Ialomita, Anul 1994, Numar persoane, 17
din care:  Diabet zaharat, Ialomita, Anul 1995, Numar persoane, 15
din care:  Diabet zaharat, Ialomita, Anul 1996, Numar persoane, 27
din care:  Diabet zaharat, Ialomita, Anul 1997, Numar persoane, 23
din care:  Diabet zaharat, Ialomita, Anul 1998, Numar persoane, 23
din care:  Diabet zaharat, Ialomita, Anul 1999, Numar persoane, 21
din care:  Diabet zaharat, Ialomita, Anul 2000, Numar persoane, 21
din care:  Diabet zaharat, Ialomita, Anul 2001, Numar persoane, 16
din care:  Diabet zaharat, Ialomita, Anul 2002, Numar persoane, 15
din care:  Diabet zaharat, Ialomita, Anul 2003, Numar persoane, 23
din care:  Diabet zaharat, Ialomita, Anul 2004, Numar persoane, 19
din care:  Diabet zaharat, Ialomita, Anul 2005, Numar persoane, 25
din care:  Diabet zaharat, Ialomita, Anul 2006, Numar persoane, 16
din care:  Diabet zaharat, Ialomita, Anul 2007, Numar persoane, 22
din care:  Diabet zaharat, Ialomita, Anul 2008, Numar persoane, 27
din care:  Diabet zaharat, Ialomita, Anul 2009, Numar persoane, 20
din care:  Diabet zaharat, Ialomita, Anul 2010, Numar persoane, 38
din care:  Diabet zaharat, Ialomita, Anul 2011, Numar persoane, 30
din care:  Diabet zaharat, Ialomita, Anul 2012, Numar persoane, 26
din care:  Diabet zaharat, Ialomita, Anul 2013, Numar persoane, 30
din care:  Diabet zaharat, Ialomita, Anul 2014, Numar persoane, 19
din care:  Diabet zaharat, Ialomita, Anul 2015, Numar persoane, 22
din care:  Diabet zaharat, Ialomita, Anul 2016, Numar persoane, 44
din care:  Diabet zaharat, Prahova, Anul 1994, Numar persoane, 100
din care:  Diabet zaharat, Prahova, Anul 1995, Numar persoane, 99
din care:  Diabet zaharat, Prahova, Anul 1996, Numar persoane, 48
